Original_Image_Name,Original_License_Number (Eng),Original_License_Number (Bangla),Detected_License_Number
76-RVRND-Test.jpg,Khagrachari Ha 115958,খাগড়াছড়ি হ ১১৫৯৫৮,খাগড়াছাড়ি- হ ১৯১-৫১ে ৫
77-RVRND-Test.jpg,Dhaka Metro Kha 130823,ঢাকা মেট্রো খ ১৩০৮২৩,[141 :4'.ট্র' >| ১৩-০৮২৩
78-RVRND-Test.jpg,Chatto Metro Ga 124105,চট্টো মেট্রো গ ১২৪১০৫,;] ]] গ ১২-৪১০৫
79-RVRND-Test.jpg,Dhaka Metro Gha 130088,ঢাকা মেট্রো ঘ ১৩০০৮৮,১০৩৮০
80-RVRND-Test.jpg,Dhaka Metro Ha 492033,ঢাকা মেট্রো হ ৪৯২০৩৩,মেট্রো হ 8)
81-RVRND-Test.jpg,Dhaka Metro Gha 180709,ঢাকা মেট্রো ঘ ১৮০৭০৯,ঢ{ক' নেঢট্র ৭ ১৮-0৭0৯
82-RVRND-Test.jpg,Dhaka Metro Ga 174119,ঢাকা মেট্রো গ ১৭৪১১৯,01%1 '২দ' ১৭-৪১১৯
83-RVRND-Test.jpg,Dhaka Metro Ga 452190,ঢাকা মেট্রো গ ৪৫২১৯০,ঢাকা নেট্রো ৪৫:২১৯০
84-RVRND-Test.jpg,Pirojpur Ha 119160,পিরোজপুর হ ১১৯১৬০,পপিরোজপুর- হ ১১-৯১৬০
85-RVRND-Test.jpg,Khulna Metro Ta 111197,খুলনা মেট্রো ট ১১১১৯৭,"খুসেনী মেঢ্রো ঢ ১১ ১১৯৭"""
86-RVRND-Test.jpg,Dhaka Metro Ka 110797,ঢাকা মেট্রো ক ১১০৭৯৭,ঢাকা ঝেট্রো ক ১১ং০৭৯৭
87-RVRND-Test.jpg,Dhaka Metro Ga 377708,ঢাকা মেট্রো গ ৩৭৭৭০৮,গক1 4েট} ৬৭84৭0৮
88-RVRND-Test.jpg,Dhaka Metro Ga 176299,ঢাকা মেট্রো গ ১৭৬২৯৯,"ঢাক' .""' গ ১৭-৬২৯৯"
89-RVRND-Test.jpg,Dhaka Metro Ga 217661,ঢাকা মেট্রো গ ২১৭৬৬১,ঢাক} নেট্র' 5| ২১-৭৬৬১
90-RVRND-Test.jpg,Dhaka Metro Ga 322038,ঢাকা মেট্রো গ ৩২২০৩৮,ূ৫যত ১২৪২০৮৮
91-RVRND-Test.jpg,"Dhaka Metro Ga 321378, Dhaka Metro Ga 391786","ঢাকা মেট্রো গ ৩২১৩৭৮, ঢাকা মেট্রো গ ৩৯১৭৮৬",ঢাকা মেট্রো গ ৩৯-১৭৮
92-RVRND-Test.jpg,Dhaka Metro Ga 338756,ঢাকা মেট্রো গ ৩৩৮৭৫৬,৬%:৮৭0৬
93-RVRND-Test.jpg,Dhaka Metro Ga 324351,ঢাকা মেট্রো গ ৩২৪৩৫১,ঢাকা মেট্রো-গ ৩২-৪৩৫১
94-RVRND-Test.jpg,Dhaka Metro Ga 124834,ঢাকা মেট্রো গ ১২৪৮৩৪,ঢাক ' ট্র1 ' ১২-৪৮৩৪
95-RVRND-Test.jpg,Dhaka Metro Ga 330575,ঢাকা মেট্রো গ ৩৩০৫৭৫,েট1 9 ৩৬-0690
96-RVRND-Test.jpg,Dhaka Metro Ba 121158,ঢাকা মেট্রো ব ১২১১৫৮,ঢাকা মেট্রো-ব ১১ ১১৫৮
97-RVRND-Test.jpg,Dhaka Metro Ga 391786,ঢাকা মেট্রো গ ৩৯১৭৮৬,'141 :;'`]' ৩৯-১৭৮৬
98-RVRND-Test.jpg,Khulna Metro La 132334,খুলনা মেট্রো ল ১৩২৩৩৪,- >998
99-RVRND-Test.jpg,Dhaka Metro Gha 137061,ঢাকা মেট্রো ঘ ১৩৭০৬১,ঢাক] ফেট্রো ঘ [১৩৪৭0৬১|
100-RVRND-Test.jpg,Raj Metro Cha 510056,রাজ মেট্রো চ ৫১০০৫৬,রাজ মেট্রো চ ৫১-০০৫৬
101-RVRND-Test.jpg,Dhaka Metro Ga 314089,ঢাকা মেট্রো গ ৩১৪০৮৯,ঢাকা মেট্রো-গ ৩১-৪০৮৯
102-RVRND-Test.jpg,Dhaka Metro Gha 174607,ঢাকা মেট্রো ঘ ১৭৪৬০৭,"৩1ক1 'মদ""ঘ ১৭৭৪৬09"
103-RVRND-Test.jpg,Chatto Metro 122499,চট্টো মেট্রো  ১২২৪৯৯,৮9 4201 ১২৪২৪১১
104-RVRND-Test.jpg,Dhaka Metro 110405,ঢাকা মেট্রো  ১১০৪০৫,"'741.45,! ১১:080^"
105-RVRND-Test.jpg,Dhaka Metro Gha 116000,ঢাকা মেট্রো ঘ ১১৬০০০,ঢাক1 মেট্রো: ১১৬০০০
106-RVRND-Test.jpg,Khulna Metro Ga 110085,খুলনা মেট্রো গ ১১০০৮৫,১ু৮-' ;4য'1' ১১-০০৮৫
107-RVRND-Test.jpg,Dhaka Metro Ba 114511,ঢাকা মেট্রো ব ১১৪৫১১,ঢাকা মেট্রো-ব ১১-৪৫১১
108-RVRND-Test.jpg,Jamalpur Ha 129889,জামালপুর হ ১২৯৮৮৯,জামালপুর ত ১২৭৯৮ য
109-RVRND-Test.jpg,Dhaka Metro Ga 317278,ঢাকা মেট্রো গ ৩১৭২৭৮,ঢাকা মে-ট্রা্গ ৩১২৭২৭৮
110-RVRND-Test.jpg,Dhaka Metro Kha 122929,ঢাকা মেট্রো খ ১২২৯২৯,ঢাকা যট্রো ? ১২-২৯২৯
111-RVRND-Test.jpg,Dhaka Metro Ga 113641,ঢাকা মেট্রো গ ১১৩৬৪১,ঢাকা মেট্র] শ ১১:৩৬৪১
112-RVRND-Test.jpg,Dhaka Metro Ga 355370,ঢাকা মেট্রো গ ৩৫৫৩৭০,ঢ1ঙ1 মেট্র' ৩৫-৫৩৭০
113-RVRND-Test.jpg,Chatto Metro Ga 122982,চট্টো মেট্রো গ ১২২৯৮২,চট্ নে'ট্রা গ| ১২ ২৯৮২
114-RVRND-Test.jpg,Manikganj Ha 112353,মানিকগঞ্জ হ ১১২৩৫৩,তবত
115-RVRND-Test.jpg,Khulna Metro Ha 136462,খুলনা মেট্রো হ ১৩৬৪৬২,দুপনা মেট্ো-২ ১৩ ৬৪৬২
116-RVRND-Test.jpg,Dhaka Metro Ga 133495,ঢাকা মেট্রো গ ১৩৩৪৯৫,0{ ৩৩৪৯৫
117-RVRND-Test.jpg,Dhaka Metro Cha 531598,ঢাকা মেট্রো চ ৫৩১৫৯৮,চাবা যেয চ ৫-১৫৮
118-RVRND-Test.jpg,Dhaka Metro Ga 204775,ঢাকা মেট্রো গ ২০৪৭৭৫,ঢাচ খেট] গ ২০:8৭৭৫
119-RVRND-Test.jpg,Thakurgaon Ha 129497,ঠাকুরগাঁও হ ১২৯৪৯৭,ঠাকরগাও: হ ১২ ৯৪৯৭
120-RVRND-Test.jpg,Chatto Metro Chha 111373,চট্টো মেট্রো ছ ১১১৩৭৩,চট্টো :-ণট্রা ছ ১১-১৩৭
121-RVRND-Test.jpg,Natore La 116250,নাটোর ল ১১৬২৫০,নাটোয়- ল 9) ১১-২০০
122-RVRND-Test.jpg,Natore La 112881,নাটোর ল ১১২৮৮১,917-
123-RVRND-Test.jpg,Dhaka Metro La 445160,ঢাকা মেট্রো ল ৪৪৫১৬০,""". ৬  ৪৮"
124-RVRND-Test.jpg,Thakurgaon Ha 125006,ঠাকুরগাঁও হ ১২৫০০৬,বাগেরহাট- ১২-৫00
125-RVRND-Test.jpg,panchagarh La 111022,পঞ্চগড় ল ১১১০২২,পশ্ুগড়-ল ১১-১০২২
126-RVRND-Test.jpg,Dhaka Metro Bha 111981,ঢাকা মেট্রো ভ ১১১৯৮১,ঢাকা মেট্রো-ভ ১১-১৯৮১
127-RVRND-Test.jpg,Barisal Metro La 114966,বরিশাল মেট্রো ল ১১৪৯৬৬,
128-RVRND-Test.jpg,Barguna La 110726,বরগুনা ল ১১০৭২৬,বরগুণা: ল ১১-০৭২৬
129-RVRND-Test.jpg,Raj Metro Ba 110140,রাজ মেট্রো ব ১১০১৪০,রাজ মেট্রো-ব ১১০১৪০ | ভ/চশষ8
130-RVRND-Test.jpg,Dhaka Metro Ha 246058,ঢাকা মেট্রো হ ২৪৬০৫৮,ঢাক 'ে ২৪-৬০৫৮
131-RVRND-Test.jpg,Feni La 117009,ফেনী ল ১১৭০০৯,ল ১১-৭০০৯
132-RVRND-Test.jpg,Jamalpur Ha 127920,জামালপুর হ ১২৭৯২০,দ্ামালপুর: প ১২-৭<01
133-RVRND-Test.jpg,Mymensingh Ha 131133,ময়মনসিংহ হ ১৩১১৩৩,#4~াস:5: হ ঠ১তত
134-RVRND-Test.jpg,Jessore Ha 146730,যশোর হ ১৪৬৭৩০,"7.""'4 ? ১৪ ৬৭৩০"
135-RVRND-Test.jpg,Khagrachari Ha 112688,খাগড়াছড়ি হ ১১২৬৮৮,খাগডাছড চ ১১'২৬৮৮
136-RVRND-Test.jpg,Khulna Metro Na 110635,খুলনা মেট্রো ন ১১০৬৩৫,খুলনা যেেট্রো ১১-০৬৩৫
137-RVRND-Test.jpg,Tangail La 129100,টাঙ্গাইল ল ১২৯১০০,টাংগাইল ' ল ১'০ )0 0
138-RVRND-Test.jpg,Dhaka Metro Ga 218635,ঢাকা মেট্রো গ ২১৮৬৩৫,ঢাকা মে-েট্রো গ ২১-৮৬৩৫
139-RVRND-Test.jpg,Patuakhali La 111205,পটুয়াখালী ল ১১১২০৫,পটুয়াখালী-ল ১১ ১২০
140-RVRND-Test.jpg,Lakshmipur La 114529,লক্ষ্মীপুর ল ১১৪৫২৯,লক্ষ্মীপুর ল ১১-৪^২৯
141-RVRND-Test.jpg,Patuakhali La 111165,পটুয়াখালী ল ১১১১৬৫,পটুয়াখালী- ল ১১-১১৬ _413 )94
142-RVRND-Test.jpg,Moulvibazar Ha 122462,মৌলভীবাজার হ ১২২৪৬২,মৌসডীবাজার 5 ১২ ২৪৬২
143-RVRND-Test.jpg,Lakshmipur Ha 120617,লক্ষ্মীপুর হ ১২০৬১৭,লক্ষ্মীপূর হ ১২-০৬১৭
144-RVRND-Test.jpg,Khulna Metro Ta 111636,খুলনা মেট্রো ট ১১১৬৩৬,
145-RVRND-Test.jpg,Khulna Metro Ta 111636,খুলনা মেট্রো ট ১১১৬৩৬,
146-RVRND-Test.jpg,Sherpur Ha 119408,শেরপুর হ ১১৯৪০৮,.শরপুর: হ ১১-৯8০৮
147-RVRND-Test.jpg,Moulvibazar Ha 111067,মৌলভীবাজার হ ১১১০৬৭,মীলভীবজার- হ ১১-১০৬৭
148-RVRND-Test.jpg,Thakurgaon La 114562,ঠাকুরগাঁও ল ১১৪৫৬২,ঠাকুরগাও: ১১-৪৫৬২
149-RVRND-Test.jpg,Sherpur La 112789,শেরপুর ল ১১২৭৮৯,শেরপয়: স ১১-২৭৮৯ ময়রনসিংহ .টেরস
150-RVRND-Test.jpg,Dhaka Metro Cha 516046,ঢাকা মেট্রো চ ৫১৬০৪৬,0141 4 ট' ৮ ৫১-৬০৪৬
